Square roots 
Number	Newton	Mechanic	difference
64	8e+00	7.999998e+00	1.655289e-06
10	3.162278e+00	3.162278e+00	1.719818e-08
0.3	5.477226e-01	5.476643e-01	5.831569e-05
3.14159	1.772453e+00	1.772324e+00	1.287798e-04
9	3e+00	2.999908e+00	9.155134e-05
4	2e+00	2e+00	9.292229e-08
2	1.414214e+00	1.414211e+00	2.140026e-06
1	1e+00	1e+00	0e+00
28	5.291503e+00	5.291452e+00	5.106999e-05
50	7.071068e+00	7.071068e+00	1.72471e-07

Cube Roots 
Number	Newton	x^(1/3)	difference
64	4e+00	4e+00	4.440892e-16
10	2.154435e+00	2.154435e+00	8.76977e-08
0.3	6.694332e-01	6.69433e-01	2.799258e-07
3.14159	1.464592e+00	1.464591e+00	1.139726e-07
9	2.080084e+00	2.080084e+00	3.371618e-09
4	1.587401e+00	1.587401e+00	1.013056e-07
2	1.259921e+00	1.259921e+00	4.963392e-09
1	1e+00	1e+00	0e+00
28	3.036589e+00	3.036589e+00	5.564096e-08
50	3.684031e+00	3.684031e+00	2.685447e-10
